id	text	cat
702	Come daily to the banks, that, when they see	s
703	Return of love, more blest may be the view;	s
704	Else call it winter, which being full of care	s
705	Makes summer's welcome thrice more wish'd, more rare.	s
706	Being your slave, what should I do but tend	s
707	I have no precious time at all to spend,	s
708	Nor services to do, till you require.	s
709	Nor dare I chide the world-without-end hour	s
710	Clouds and eclipses stain both moon and sun,	s
711	Nor think the bitterness of absence sour	s
712	When you have bid your servant once adieu;	s
713	Nor dare I question with my jealous thought	s
714	Where you may be, or your affairs suppose,	s
715	And his love-kindling fire did quickly steep	s
716	So true a fool is love that in your will,	s
717	Though you do any thing, he thinks no ill.	s
718	That god forbid that made me first your slave,	s
719	I should in thought control your times of pleasure,	s
720	Whence hast thou this becoming of things ill,	s
721	To me that languish'd for her sake;	s
722	O, let me suffer, being at your beck,	s
723	The imprison'd absence of your liberty;	s
724	And patience, tame to sufferance, bide each check,	s
725	Without accusing you of injury.	s
726	Be where you list, your charter is so strong	s
727	That you yourself may privilege your time	s
728	To what you will; to you it doth belong	s
729	Yourself to pardon of self-doing crime.	s
730	I am to wait, though waiting so be hell;	s
731	For, thou betraying me, I do betray	s
732	If there be nothing new, but that which is	s
733	Hath been before, how are our brains beguiled,	s
734	Which, labouring for invention, bear amiss	s
735	The second burden of a former child!	s
736	O, that record could with a backward look,	s
737	Even of five hundred courses of the sun,	s
738	Show me your image in some antique book,	s
739	To this composed wonder of your frame;	s
740	Yet this shall I ne'er know, but live in doubt,	s
741	To subjects worse have given admiring praise.	s
742	Like as the waves make towards the pebbled shore,	s
743	So do our minutes hasten to their end;	s
744	Each changing place with that which goes before,	s
745	In sequent toil all forwards do contend.	s
746	Nativity, once in the main of light,	s
747	Crooked elipses 'gainst his glory fight,	s
748	And Time that gave doth now his gift confound.	s
749	Time doth transfix the flourish set on youth	s
750	And delves the parallels in beauty's brow,	s
751	Feeds on the rarities of nature's truth,	s
752	And nothing stands but for his scythe to mow:	s
753	And yet to times in hope my verse shall stand,	s
754	Chiding that tongue that ever sweet	s
755	Is it thy will thy image should keep open	s
756	My heavy eyelids to the weary night?	s
757	Dost thou desire my slumbers should be broken,	s
758	While shadows like to thee do mock my sight?	s
759	Is it thy spirit that thou send'st from thee	s
760	So far from home into my deeds to pry,	s
761	To find out shames and idle hours in me,	s
762	O, no! thy love, though much, is not so great:	s
763	It is my love that keeps mine eye awake;	s
764	Mine own true love that doth my rest defeat,	s
765	To stand in thy affairs, fall by thy side.	s
766	To entertain the time with thoughts of love,	s
767	From me far off, with others all too near.	s
768	Sin of self-love possesseth all mine eye	s
769	And all my soul and all my every part;	s
770	And for this sin there is no remedy,	s
771	It is so grounded inward in my heart.	s
772	Methinks no face so gracious is as mine,	s
773	No shape so true, no truth of such account;	s
774	And for myself mine own worth do define,	s
775	As I all other in all worths surmount.	s
776	But when my glass shows me myself indeed,	s
777	Beated and chopp'd with tann'd antiquity,	s
778	Mine own self-love quite contrary I read;	s
779	Self so self-loving were iniquity.	s
780	Do I not think on thee, when I forgot	s
781	Painting my age with beauty of thy days.	s
782	For I have sworn deep oaths of thy deep kindness,	s
783	When hours have drain'd his blood and fill'd his brow	s
784	With lines and wrinkles; when his youthful morn	s
785	Hath travell'd on to age's steepy night,	s
786	And all those beauties whereof now he's king	s
787	Are vanishing or vanish'd out of sight,	s
788	Stealing away the treasure of his spring;	s
789	For such a time do I now fortify	s
790	But at my mistress' eye Love's brand new-fired,	s
791	That he shall never cut from memory	s
792	This brand she quenched in a cool well by,	s
793	Two loves I have of comfort and despair,	s
794	And they shall live, and he in them still green.	s
795	When I have seen by Time's fell hand defaced	s
796	The rich proud cost of outworn buried age;	s
797	But since he died and poets better prove,	s
798	And brass eternal slave to mortal rage;	s
799	When I have seen the hungry ocean gain	s
800	Advantage on the kingdom of the shore,	s
801	Who hateth thee that I do call my friend?	s
802	Increasing store with loss and loss with store;	s
803	When I have seen such interchange of state,	s
804	No matter then although my foot did stand	s
805	Ruin hath taught me thus to ruminate,	s
806	That Time will come and take my love away.	s
807	Those that can see thou lovest, and I am blind.	s
808	But weep to have that which it fears to lose.	s
809	Since brass, nor stone, nor earth, nor boundless sea,	s
810	There is such strength and warrantize of skill	s
811	How with this rage shall beauty hold a plea,	s
812	Whose action is no stronger than a flower?	s
813	O, how shall summer's honey breath hold out	s
814	When rocks impregnable are not so stout,	s
815	Nor gates of steel so strong, but Time decays?	s
816	Then thou, whose shadow shadows doth make bright,	s
817	With insufficiency my heart to sway?	s
818	Or what strong hand can hold his swift foot back?	s
819	On whom frown'st thou that I do fawn upon?	s
820	Which from Love's fire took heat perpetual,	s
821	That in black ink my love may still shine bright.	s
822	As, to behold desert a beggar born,	s
823	And needy nothing trimm'd in jollity,	s
824	And purest faith unhappily forsworn,	s
825	And guilded honour shamefully misplaced,	s
826	And maiden virtue rudely strumpeted,	s
827	And right perfection wrongfully disgraced,	s
828	And strength by limping sway disabled,	s
829	And art made tongue-tied by authority,	s
830	And folly doctor-like controlling skill,	s
831	And simple truth miscall'd simplicity,	s
832	And captive good attending captain ill:	s
833	Tired with all these, from these would I be gone,	s
834	Save that, to die, I leave my love alone.	s
835	Ah! wherefore with infection should he live,	s
836	And with his presence grace impiety,	s
837	That sin by him advantage should achieve	s
838	And lace itself with his society?	s
839	Why should false painting imitate his cheek	s
840	And steal dead seeing of his living hue?	s
841	Why should poor beauty indirectly seek	s
842	Roses of shadow, since his rose is true?	s
843	Why should he live, now Nature bankrupt is,	s
844	Beggar'd of blood to blush through lively veins?	s
845	And, proud of many, lives upon his gains.	s
846	O, him she stores, to show what wealth she had	s
847	In days long since, before these last so bad.	s
848	Being had, to triumph, being lack'd, to hope.	s
849	Before the bastard signs of fair were born,	s
850	Or durst inhabit on a living brow;	s
851	Before the golden tresses of the dead,	s
852	The right of sepulchres, were shorn away,	s
853	To live a second life on second head;	s
854	Ere beauty's dead fleece made another gay:	s
855	In him those holy antique hours are seen,	s
856	Without all ornament, itself and true,	s
857	Making no summer of another's green,	s
858	Robbing no old to dress his beauty new;	s
859	And him as for a map doth Nature store,	s
860	To show false Art what beauty was of yore.	s
861	Those parts of thee that the world's eye doth view	s
862	Want nothing that the thought of hearts can mend;	s
863	All tongues, the voice of souls, give thee that due,	s
864	Uttering bare truth, even so as foes commend.	s
865	Thy outward thus with outward praise is crown'd;	s
866	But those same tongues that give thee so thine own	s
867	In other accents do this praise confound	s
868	By seeing farther than the eye hath shown.	s
869	They look into the beauty of thy mind,	s
870	Then, churls, their thoughts, although their eyes were kind,	s
871	Yet in these thoughts myself almost despising,	s
872	But why thy odour matcheth not thy show,	s
873	The solve is this, that thou dost common grow.	s
874	That thou art blamed shall not be thy defect,	s
875	And all my honest faith in thee is lost,	s
876	The ornament of beauty is suspect,	s
877	A crow that flies in heaven's sweetest air.	s
878	So thou be good, slander doth but approve	s
879	Thy worth the greater, being woo'd of time;	s
880	For canker vice the sweetest buds doth love,	s
881	And thou present'st a pure unstained prime.	s
882	Thou hast pass'd by the ambush of young days,	s
883	My love is as a fever, longing still	s
884	Yet this thy praise cannot be so thy praise,	s
885	If some suspect of ill mask'd not thy show,	s
886	Then thou alone kingdoms of hearts shouldst owe.	s
887	No longer mourn for me when I am dead	s
888	Then you shall hear the surly sullen bell	s
889	Give warning to the world that I am fled	s
890	From this vile world, with vilest worms to dwell:	s
891	Nay, if you read this line, remember not	s
892	The hand that writ it; for I love you so	s
893	That I in your sweet thoughts would be forgot	s
894	If thinking on me then should make you woe.	s
895	O, if, I say, you look upon this verse	s
896	When I perhaps compounded am with clay,	s
897	Do not so much as my poor name rehearse.	s
898	But let your love even with my life decay,	s
899	Lest the wise world should look into your moan	s
900	I, sick withal, the help of bath desired,	s
901	O, lest the world should task you to recite	s
902	What merit lived in me, that you should love	s
903	After my death, dear love, forget me quite,	s
904	For you in me can nothing worthy prove;	s
905	Unless you would devise some virtuous lie,	s
906	You should live twice; in it and in my rhyme.	s
907	And hang more praise upon deceased I	s
908	Than niggard truth would willingly impart:	s
909	O, lest your true love may seem false in this,	s
910	That you for love speak well of me untrue,	s
911	My name be buried where my body is,	s
912	And live no more to shame nor me nor you.	s
913	For I am shamed by that which I bring forth,	s
914	And so should you, to love things nothing worth.	s
915	That time of year thou mayst in me behold	s
916	When yellow leaves, or none, or few, do hang	s
917	Bare ruin'd choirs, where late the sweet birds sang.	s
918	Doth follow night, who like a fiend	s
919	As after sunset fadeth in the west,	s
920	Which by and by black night doth take away,	s
921	Death's second self, that seals up all in rest.	s
922	In me thou see'st the glowing of such fire	s
923	That on the ashes of his youth doth lie,	s
924	As the death-bed whereon it must expire	s
925	Consumed with that which it was nourish'd by.	s
926	Nor can I fortune to brief minutes tell,	s
927	To love that well which thou must leave ere long.	s
928	But be contented: when that fell arrest	s
929	Without all bail shall carry me away,	s
930	My life hath in this line some interest,	s
931	Which for memorial still with thee shall stay.	s
932	When thou reviewest this, thou dost review	s
933	The very part was consecrate to thee:	s
934	The earth can have but earth, which is his due;	s
935	My spirit is thine, the better part of me:	s
936	So then thou hast but lost the dregs of life,	s
937	The prey of worms, my body being dead,	s
938	The coward conquest of a wretch's knife,	s
939	The worth of that is that which it contains,	s
940	And that is this, and this with thee remains.	s
941	Or as sweet-season'd showers are to the ground;	s
942	And for the peace of you I hold such strife	s
943	As 'twixt a miser and his wealth is found;	s
944	Now proud as an enjoyer and anon	s
945	Doubting the filching age will steal his treasure,	s
946	Then better'd that the world may see my pleasure;	s
947	Sometime all full with feasting on your sight	s
948	And by and by clean starved for a look;	s
949	Possessing or pursuing no delight,	s
950	Save what is had or must from you be took.	s
951	Thus do I pine and surfeit day by day,	s
952	Or gluttoning on all, or all away.	s
953	Why is my verse so barren of new pride,	s
954	So far from variation or quick change?	s
955	Why with the time do I not glance aside	s
956	Whilst many nymphs that vow'd chaste life to keep	s
957	Why write I still all one, ever the same,	s
958	And keep invention in a noted weed,	s
959	Showing their birth and where they did proceed?	s
960	O, know, sweet love, I always write of you,	s
961	And you and love are still my argument;	s
962	So all my best is dressing old words new,	s
963	Spending again what is already spent:	s
964	For as the sun is daily new and old,	s
965	So is my love still telling what is told.	s
966	Thy glass will show thee how thy beauties wear,	s
967	Thy dial how thy precious minutes waste;	s
968	In vowing new hate after new love bearing.	s
969	And of this book this learning mayst thou taste.	s
970	The wrinkles which thy glass will truly show	s
971	Of mouthed graves will give thee memory;	s
972	Thou by thy dial's shady stealth mayst know	s
973	Time's thievish progress to eternity.	s
974	Crawls to maturity, wherewith being crown'd,	s
975	Commit to these waste blanks, and thou shalt find	s
976	These offices, so oft as thou wilt look,	s
977	As his triumphant prize. Proud of this pride,	s
978	So oft have I invoked thee for my Muse	s
979	And found such fair assistance in my verse	s
980	And under thee their poesy disperse.	s
981	Thine eyes that taught the dumb on high to sing	s
982	And heavy ignorance aloft to fly	s
983	Have added feathers to the learned's wing	s
984	And given grace a double majesty.	s
985	And by their verdict is determined	s
986	Whose influence is thine and born of thee:	s
987	In others' works thou dost but mend the style,	s
988	And arts with thy sweet graces graced be;	s
989	But thou art all my art and dost advance	s
990	As high as learning my rude ignorance.	s
991	Whilst I alone did call upon thy aid,	s
992	My verse alone had all thy gentle grace,	s
993	But now my gracious numbers are decay'd	s
994	He is contented thy poor drudge to be,	s
995	I grant, sweet love, thy lovely argument	s
996	And swear that brightness doth not grace the day?	s
997	Yet what of thee thy poet doth invent	s
998	He robs thee of and pays it thee again.	s
999	He lends thee virtue and he stole that word	s
1000	From thy behavior; beauty doth he give	s
1001	And found it in thy cheek; he can afford	s
1002	No praise to thee but what in thee doth live.	s
1003	Then thank him not for that which he doth say,	s
1004	Knowing a better spirit doth use your name,	s
1005	And in the praise thereof spends all his might,	s
1006	To make me tongue-tied, speaking of your fame!	s
1007	But since your worth, wide as the ocean is,	s
1008	Who art as black as hell, as dark as night.	s
1009	That heaven's air in this huge rondure hems.	s
1010	On your broad main doth wilfully appear.	s
1011	Your shallowest help will hold me up afloat,	s
1012	Whilst he upon your soundless deep doth ride;	s
1013	Or being wreck'd, I am a worthless boat,	s
1014	He of tall building and of goodly pride:	s
1015	Then if he thrive and I be cast away,	s
1016	The worst was this; my love was my decay.	s
1017	Or I shall live your epitaph to make,	s
1018	Or you survive when I in earth am rotten;	s
1019	Although in me each part will be forgotten.	s
1020	Though I, once gone, to all the world must die:	s
1021	The earth can yield me but a common grave,	s
1022	When you entombed in men's eyes shall lie.	s
1023	Your monument shall be my gentle verse,	s
1024	Which eyes not yet created shall o'er-read,	s
1025	And tongues to be your being shall rehearse	s
1026	When all the breathers of this world are dead;	s
1027	You still shall live--such virtue hath my pen--	s
1028	Triumph in love; flesh stays no father reason;	s
1029	And therefore mayst without attaint o'erlook	s
1030	The dedicated words which writers use	s
1031	Intend a zealous pilgrimage to thee,	s
1032	Thou art as fair in knowledge as in hue,	s
1033	And Death once dead, there's no more dying then.	s
1034	And therefore art enforced to seek anew	s
1035	Some fresher stamp of the time-bettering days	s
1036	And do so, love; yet when they have devised	s
1037	What strained touches rhetoric can lend,	s
1038	Thou truly fair wert truly sympathized	s
1039	In true plain words by thy true-telling friend;	s
1040	And their gross painting might be better used	s
1041	Where cheeks need blood; in thee it is abused.	s
1042	And therefore to your fair no painting set;	s
1043	I found, or thought I found, you did exceed	s
1044	The barren tender of a poet's debt;	s
1045	And therefore have I slept in your report,	s
1046	That you yourself being extant well might show	s
1047	Lest guilty of my faults thy sweet self prove:	s
1048	Speaking of worth, what worth in you doth grow.	s
1049	This silence for my sin you did impute,	s
1050	Which shall be most my glory, being dumb;	s
1051	For I impair not beauty being mute,	s
1052	When others would give life and bring a tomb.	s
1053	There lives more life in one of your fair eyes	s
1054	Love's fire heats water, water cools not love.	s
1055	Who is it that says most? which can say more	s
1056	Than this rich praise, that you alone are you?	s
1057	In whose confine immured is the store	s
1058	Which should example where your equal grew.	s
1059	Lean penury within that pen doth dwell	s
1060	That to his subject lends not some small glory;	s
1061	But he that writes of you, if he can tell	s
1062	That you are you, so dignifies his story,	s
1063	Not making worse what nature made so clear,	s
1064	And such a counterpart shall fame his wit,	s
1065	Making his style admired every where.	s
1066	You to your beauteous blessings add a curse,	s
1067	Being fond on praise, which makes your praises worse.	s
1068	While comments of your praise, richly compiled,	s
1069	I think good thoughts whilst other write good words,	s
1070	To every hymn that able spirit affords	s
1071	In polish'd form of well-refined pen.	s
1072	And to the most of praise add something more;	s
1073	But that is in my thought, whose love to you,	s
1074	Though words come hindmost, holds his rank before.	s
1075	Then others for the breath of words respect,	s
1076	Me for my dumb thoughts, speaking in effect.	s
1077	Bound for the prize of all too precious you,	s
1078	That did my ripe thoughts in my brain inhearse,	s
1079	Above a mortal pitch, that struck me dead?	s
1080	No, neither he, nor his compeers by night	s
1081	Giving him aid, my verse astonished.	s
1082	That censures falsely what they see aright?	s
1083	Which have no correspondence with true sight!	s
1084	I was not sick of any fear from thence:	s
1085	But when your countenance fill'd up his line,	s
1086	Then lack'd I matter; that enfeebled mine.	s
1087	Farewell! thou art too dear for my possessing,	s
1088	And like enough thou know'st thy estimate:	s
1089	The charter of thy worth gives thee releasing;	s
1090	My bonds in thee are all determinate.	s
1091	My soul doth tell my body that he may	s
1092	But, like a sad slave, stay and think of nought	s
1093	The cause of this fair gift in me is wanting,	s
1094	And so my patent back again is swerving.	s
1095	Canst thou, O cruel! say I love thee not,	s
1096	So thy great gift, upon misprision growing,	s
1097	Comes home again, on better judgment making.	s
1098	Thus have I had thee, as a dream doth flatter,	s
1099	In sleep a king, but waking no such matter.	s
1100	When thou shalt be disposed to set me light,	s
1101	And place my merit in the eye of scorn,	s
1102	Upon thy side against myself I'll fight,	s
1103	And prove thee virtuous, though thou art forsworn.	s
1104	With mine own weakness being best acquainted,	s
1105	Upon thy part I can set down a story	s
1106	Of faults conceal'd, wherein I am attainted,	s
1107	That thou in losing me shalt win much glory:	s
1108	And I by this will be a gainer too;	s
1109	Which many legions of true hearts had warm'd;	s
1110	The injuries that to myself I do,	s
1111	Doing thee vantage, double-vantage me.	s
1112	Such is my love, to thee I so belong,	s
1113	That for thy right myself will bear all wrong.	s
1114	Say that thou didst forsake me for some fault,	s
1115	And I will comment upon that offence;	s
1116	That follow'd it as gentle day	s
1117	Against thy reasons making no defence.	s
1118	My reason, the physician to my love,	s
1119	To set a form upon desired change,	s
1120	As I'll myself disgrace: knowing thy will,	s
1121	I will acquaintance strangle and look strange,	s
1122	Be absent from thy walks, and in my tongue	s
1123	Thy sweet beloved name no more shall dwell,	s
1124	Lest I, too much profane, should do it wrong	s
1125	That every word doth almost tell my name,	s
1126	For thee against myself I'll vow debate,	s
1127	For I must ne'er love him whom thou dost hate.	s
1128	Then hate me when thou wilt; if ever, now;	s
1129	Now, while the world is bent my deeds to cross,	s
1130	Join with the spite of fortune, make me bow,	s
1131	This thou perceivest, which makes thy love more strong,	s
1132	Ah, do not, when my heart hath 'scoped this sorrow,	s
1133	Come in the rearward of a conquer'd woe;	s
1134	Give not a windy night a rainy morrow,	s
1135	To linger out a purposed overthrow.	s
1136	If thou wilt leave me, do not leave me last,	s
1137	When other petty griefs have done their spite	s
1138	But in the onset come; so shall I taste	s
1139	At first the very worst of fortune's might,	s
1140	And other strains of woe, which now seem woe,	s
1141	Some glory in their birth, some in their skill,	s
1142	Some in their wealth, some in their bodies' force,	s
1143	Some in their garments, though new-fangled ill,	s
1144	Some in their hawks and hounds, some in their horse;	s
1145	And every humour hath his adjunct pleasure,	s
1146	Wherein it finds a joy above the rest:	s
1147	But these particulars are not my measure;	s
1148	All these I better in one general best.	s
1149	But when she saw my woeful state,	s
1150	Richer than wealth, prouder than garments' cost,	s
1151	Of more delight than hawks or horses be;	s
1152	And having thee, of all men's pride I boast:	s
1153	Wretched in this alone, that thou mayst take	s
1154	But being both from me, both to each friend,	s
1155	But do thy worst to steal thyself away,	s
1156	For term of life thou art assured mine,	s
1157	And life no longer than thy love will stay,	s
1158	For it depends upon that love of thine.	s
1159	Then need I not to fear the worst of wrongs,	s
1160	When in the least of them my life hath end.	s
1161	I see a better state to me belongs	s
1162	Than that which on thy humour doth depend;	s
1163	Suspect I may, but not directly tell;	s
1164	Since that my life on thy revolt doth lie.	s
1165	O, what a happy title do I find,	s
1166	Happy to have thy love, happy to die!	s
1167	But what's so blessed-fair that fears no blot?	s
1168	Thou mayst be false, and yet I know it not.	s
1169	Like a deceived husband; so love's face	s
1170	May still seem love to me, though alter'd new;	s
1171	Thy looks with me, thy heart in other place:	s
1172	For there can live no hatred in thine eye,	s
1173	Therefore in that I cannot know thy change.	s
1174	In many's looks the false heart's history	s
1175	Is writ in moods and frowns and wrinkles strange,	s
1176	Was sleeping by a virgin hand disarm'd.	s
1177	That in thy face sweet love should ever dwell;	s
1178	Whate'er thy thoughts or thy heart's workings be,	s
1179	How like Eve's apple doth thy beauty grow,	s
1180	if thy sweet virtue answer not thy show!	s
1181	They that have power to hurt and will do none,	s
1182	That do not do the thing they most do show,	s
1183	Who, moving others, are themselves as stone,	s
1184	Unmoved, cold, and to temptation slow,	s
1185	They rightly do inherit heaven's graces	s
1186	And husband nature's riches from expense;	s
1187	They are the lords and owners of their faces,	s
1188	Others but stewards of their excellence.	s
1189	The summer's flower is to the summer sweet,	s
1190	Though to itself it only live and die,	s
1191	But if that flower with base infection meet,	s
1192	The basest weed outbraves his dignity:	s
1193	For sweetest things turn sourest by their deeds;	s
1194	Lilies that fester smell far worse than weeds.	s
1195	How sweet and lovely dost thou make the shame	s
1196	Which, like a canker in the fragrant rose,	s
1197	Doth spot the beauty of thy budding name!	s
1198	O, in what sweets dost thou thy sins enclose!	s
1199	That tongue that tells the story of thy days,	s
1200	Making lascivious comments on thy sport,	s
1201	Cannot dispraise but in a kind of praise;	s
1202	When I perceive that men as plants increase,	s
1203	O, what a mansion have those vices got	s
1204	Which for their habitation chose out thee,	s
1205	Where beauty's veil doth cover every blot,	s
1206	And grew a seething bath, which yet men prove	s
1207	Take heed, dear heart, of this large privilege;	s
1208	The hardest knife ill-used doth lose his edge.	s
1209	Some say thy fault is youth, some wantonness;	s
1210	Which like two spirits do suggest me still:	s
1211	Both grace and faults are loved of more and less;	s
1212	For whether beauty, birth, or wealth, or wit,	s
1213	As on the finger of a throned queen	s
1214	The basest jewel will be well esteem'd,	s
1215	For I have sworn thee fair and thought thee bright,	s
1216	How many lambs might the stern wolf betray,	s
1217	If like a lamb he could his looks translate!	s
1218	How many gazers mightst thou lead away,	s
1219	If thou wouldst use the strength of all thy state!	s
1220	As, thou being mine, mine is thy good report.	s
1221	How like a winter hath my absence been	s
1222	From thee, the pleasure of the fleeting year!	s
1223	What freezings have I felt, what dark days seen!	s
1224	What old December's bareness every where!	s
1225	And yet this time removed was summer's time,	s
1226	The teeming autumn, big with rich increase,	s
1227	Bearing the wanton burden of the prime,	s
1228	Like widow'd wombs after their lords' decease:	s
1229	Yet this abundant issue seem'd to me	s
1230	But hope of orphans and unfather'd fruit;	s
1231	For summer and his pleasures wait on thee,	s
1232	And, thou away, the very birds are mute;	s
1233	Or, if they sing, 'tis with so dull a cheer	s
1234	That leaves look pale, dreading the winter's near.	s
1235	From you have I been absent in the spring,	s
1236	How would, I say, mine eyes be blessed made	s
1237	Hath put a spirit of youth in every thing,	s
1238	That heavy Saturn laugh'd and leap'd with him.	s
1239	Of different flowers in odour and in hue	s
1240	Could make me any summer's story tell,	s
1241	Or from their proud lap pluck them where they grew;	s
1242	Nor did I wonder at the lily's white,	s
1243	Nor praise the deep vermilion in the rose;	s
1244	Drawn after you, you pattern of all those.	s
1245	Yet seem'd it winter still, and, you away,	s
1246	As with your shadow I with these did play:	s
1247	The forward violet thus did I chide:	s
1248	Sweet thief, whence didst thou steal thy sweet that smells,	s
1249	If not from my love's breath? The purple pride	s
1250	Which on thy soft cheek for complexion dwells	s
1251	And haply of our old acquaintance tell.	s
1252	The lily I condemned for thy hand,	s
1253	And buds of marjoram had stol'n thy hair:	s
1254	The roses fearfully on thorns did stand,	s
1255	One blushing shame, another white despair;	s
1256	Straight in her heart did mercy come,	s
1257	And to his robbery had annex'd thy breath;	s
1258	But, for his theft, in pride of all his growth	s
1259	A vengeful canker eat him up to death.	s
1260	Holds in perfection but a little moment,	s
1261	But sweet or colour it had stol'n from thee.	s
1262	Where art thou, Muse, that thou forget'st so long	s
1263	To speak of that which gives thee all thy might?	s
1264	Spend'st thou thy fury on some worthless song,	s
1265	Darkening thy power to lend base subjects light?	s
1266	Return, forgetful Muse, and straight redeem	s
1267	In gentle numbers time so idly spent;	s
1268	Sing to the ear that doth thy lays esteem	s
1269	And gives thy pen both skill and argument.	s
1270	If thy unworthiness raised love in me,	s
1271	If any, be a satire to decay,	s
1272	And make Time's spoils despised every where.	s
1273	Give my love fame faster than Time wastes life;	s
1274	So thou prevent'st his scythe and crooked knife.	s
1275	O truant Muse, what shall be thy amends	s
1276	For thy neglect of truth in beauty dyed?	s
1277	Both truth and beauty on my love depends;	s
1278	So dost thou too, and therein dignified.	s
1279	They were but sweet, but figures of delight,	s
1280	'Truth needs no colour, with his colour fix'd;	s
1281	Beauty no pencil, beauty's truth to lay;	s
1282	But best is best, if never intermix'd?'	s
1283	Because he needs no praise, wilt thou be dumb?	s
1284	Excuse not silence so; for't lies in thee	s
1285	To make him much outlive a gilded tomb,	s
1286	And to be praised of ages yet to be.	s
1287	Then do thy office, Muse; I teach thee how	s
1288	To make him seem long hence as he shows now.	s
1289	My love is strengthen'd, though more weak in seeming;	s
1290	I love not less, though less the show appear:	s
1291	That love is merchandized whose rich esteeming	s
1292	The owner's tongue doth publish every where.	s
1293	When I was wont to greet it with my lays,	s
1294	As Philomel in summer's front doth sing	s
1295	Or, if they have, where is my judgment fled,	s
1296	Not that the summer is less pleasant now	s
1297	Than when her mournful hymns did hush the night,	s
1298	Laid by his side his heart-inflaming brand,	s
1299	And sweets grown common lose their dear delight.	s
1300	Therefore like her I sometime hold my tongue,	s
1301	Came tripping by; but in her maiden hand	s
1302	Alack, what poverty my Muse brings forth,	s
1303	That having such a scope to show her pride,	s
1304	The argument all bare is of more worth	s
1305	O, blame me not, if I no more can write!	s
1306	Look in your glass, and there appears a face	s
1307	That over-goes my blunt invention quite,	s
1308	Dulling my lines and doing me disgrace.	s
1309	Were it not sinful then, striving to mend,	s
1310	To mar the subject that before was well?	s
1311	For to no other pass my verses tend	s
1312	Than of your graces and your gifts to tell;	s
1313	Was used in giving gentle doom,	s
1314	Your own glass shows you when you look in it.	s
1315	To me, fair friend, you never can be old,	s
1316	For as you were when first your eye I eyed,	s
1317	Such seems your beauty still. Three winters cold	s
1318	Have from the forests shook three summers' pride,	s
1319	Three beauteous springs to yellow autumn turn'd	s
1320	In process of the seasons have I seen,	s
1321	Three April perfumes in three hot Junes burn'd,	s
1322	Ah! yet doth beauty, like a dial-hand,	s
1323	Steal from his figure and no pace perceived;	s
1324	So your sweet hue, which methinks still doth stand,	s
1325	Hath motion and mine eye may be deceived:	s
1326	For fear of which, hear this, thou age unbred;	s
1327	Ere you were born was beauty's summer dead.	s
1328	Let not my love be call'd idolatry,	s
1329	Nor my beloved as an idol show,	s
1330	Since all alike my songs and praises be	s
1331	To one, of one, still such, and ever so.	s
1332	Kind is my love to-day, to-morrow kind,	s
1333	Still constant in a wondrous excellence;	s
1334	Therefore my verse to constancy confined,	s
1335	One thing expressing, leaves out difference.	s
1336	'Fair, kind and true' is all my argument,	s
1337	To win me soon to hell, my female evil	s
1338	And in this change is my invention spent,	s
1339	Three themes in one, which wondrous scope affords.	s
1340	'Fair, kind, and true,' have often lived alone,	s
1341	For that which longer nurseth the disease,	s
1342	When in the chronicle of wasted time	s
1343	I see descriptions of the fairest wights,	s
1344	And beauty making beautiful old rhyme	s
1345	In praise of ladies dead and lovely knights,	s
1346	Then, in the blazon of sweet beauty's best,	s
1347	Of hand, of foot, of lip, of eye, of brow,	s
1348	I see their antique pen would have express'd	s
1349	Her love for whose dear love I rise and fall.	s
1350	So all their praises are but prophecies	s
1351	Of this our time, all you prefiguring;	s
1352	'I hate' she alter'd with an end,	s
1353	They had not skill enough your worth to sing:	s
1354	For we, which now behold these present days,	s
1355	Had eyes to wonder, but lack tongues to praise.	s
1356	Not mine own fears, nor the prophetic soul	s
1357	Supposed as forfeit to a confined doom.	s
1358	The mortal moon hath her eclipse endured	s
1359	And the sad augurs mock their own presage;	s
1360	Incertainties now crown themselves assured	s
1361	And peace proclaims olives of endless age.	s
1362	But do not so; I love thee in such sort	s
1363	My love looks fresh, and death to me subscribes,	s
1364	While he insults o'er dull and speechless tribes:	s
1365	And thou in this shalt find thy monument,	s
1366	When tyrants' crests and tombs of brass are spent.	s
1367	What's in the brain that ink may character	s
1368	Which hath not figured to thee my true spirit?	s
1369	What's new to speak, what new to register,	s
1370	That may express my love or thy dear merit?	s
1371	Nothing, sweet boy; but yet, like prayers divine,	s
1372	I must, each day say o'er the very same,	s
1373	The sun itself sees not till heaven clears.	s
1374	Even as when first I hallow'd thy fair name.	s
1375	That is so vex'd with watching and with tears?	s
1376	Weighs not the dust and injury of age,	s
1377	Nor gives to necessary wrinkles place,	s
1378	But makes antiquity for aye his page,	s
1379	Finding the first conceit of love there bred	s
1380	Where time and outward form would show it dead.	s
1381	O, never say that I was false of heart,	s
1382	Though absence seem'd my flame to qualify.	s
1383	As easy might I from myself depart	s
1384	As from my soul, which in thy breast doth lie:	s
1385	That is my home of love: if I have ranged,	s
1386	Like him that travels I return again,	s
1387	Just to the time, not with the time exchanged,	s
1388	So that myself bring water for my stain.	s
1389	Never believe, though in my nature reign'd	s
1390	All frailties that besiege all kinds of blood,	s
1391	O cunning Love! with tears thou keep'st me blind,	s
1392	To leave for nothing all thy sum of good;	s
1393	For nothing this wide universe I call,	s
1394	Save thou, my rose; in it thou art my all.	s
